11:42:55.995 INFO  [background-preinit] HV000001: Hibernate Validator 6.2.2.Final - [Version:21]
11:42:56.193 INFO  [restartedMain] Starting CloudFuzeEmailMigration using Java 1.8.0_291 on DESKTOP-ROGPNF7 with PID 23300 (C:\CF_EMAIL_MIGRATION\EmailMigration\target\classes started by BrahmaiahG in C:\CF_EMAIL_MIGRATION\EmailMigration) - [CloudFuzeEmailMigration:55]
11:42:56.194 DEBUG [restartedMain] Running with Spring Boot v2.6.4, Spring v5.3.16 - [CloudFuzeEmailMigration:56]
11:42:56.196 INFO  [restartedMain] The following 4 profiles are active: "move", "picking", "updater", "purge" - [CloudFuzeEmailMigration:646]
11:42:56.361 INFO  [restartedMain] Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable - [DevToolsPropertyDefaultsPostProcessor:255]
11:42:56.361 INFO  [restartedMain] For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' - [DevToolsPropertyDefaultsPostProcessor:255]
11:42:59.134 INFO  [restartedMain] Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. - [RepositoryConfigurationDelegate:132]
11:42:59.250 INFO  [restartedMain] Finished Spring Data repository scanning in 104 ms. Found 2 MongoDB repository interfaces. - [RepositoryConfigurationDelegate:201]
11:42:59.250 INFO  [restartedMain] Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. - [RepositoryConfigurationDelegate:132]
11:42:59.302 INFO  [restartedMain] Finished Spring Data repository scanning in 50 ms. Found 3 MongoDB repository interfaces. - [RepositoryConfigurationDelegate:201]
11:43:03.607 INFO  [restartedMain] Tomcat initialized with port(s): 8083 (http) - [TomcatWebServer:108]
11:43:03.891 INFO  [restartedMain] Root WebApplicationContext: initialization completed in 7526 ms - [ServletWebServerApplicationContext:290]
11:43:05.079 INFO  [restartedMain] Cluster created with settings {hosts=[65.151.177.136:7276], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} - [cluster:71]
11:43:05.813 INFO  [cluster-ClusterId{value='64df0bf1c892db4773f5dab2', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:1, serverValue:3716}] to 65.151.177.136:7276 - [connection:71]
11:43:05.813 INFO  [cluster-rtt-ClusterId{value='64df0bf1c892db4773f5dab2', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:2, serverValue:3717}] to 65.151.177.136:7276 - [connection:71]
11:43:05.814 INFO  [cluster-ClusterId{value='64df0bf1c892db4773f5dab2', description='null'}-65.151.177.136:7276] Monitor thread successfully connected to server with description ServerDescription{address=65.151.177.136:7276, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=314770300} - [cluster:71]
11:43:06.381 DEBUG [restartedMain] Filter 'JWTAuthorizationFilter' configured for use - [JWTAuthorizationFilter:242]
11:43:06.460 INFO  [restartedMain] LiveReload server is running on port 35729 - [OptionalLiveReloadServer:58]
11:43:06.487 INFO  [restartedMain] Cluster created with settings {hosts=[65.151.177.136:7276], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} - [cluster:71]
11:43:07.002 INFO  [cluster-ClusterId{value='64df0bf2c892db4773f5dab3', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:4, serverValue:3719}] to 65.151.177.136:7276 - [connection:71]
11:43:07.002 INFO  [cluster-rtt-ClusterId{value='64df0bf2c892db4773f5dab3', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:3, serverValue:3718}] to 65.151.177.136:7276 - [connection:71]
11:43:07.004 INFO  [cluster-ClusterId{value='64df0bf2c892db4773f5dab3', description='null'}-65.151.177.136:7276] Monitor thread successfully connected to server with description ServerDescription{address=65.151.177.136:7276, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=256680701} - [cluster:71]
11:43:10.812 INFO  [restartedMain] Opened connection [connectionId{localValue:5, serverValue:3720}] to 65.151.177.136:7276 - [connection:71]
11:43:11.766 INFO  [restartedMain] Fetching SendGrid API Key - [AppMongoOpsManager:29]
11:43:12.837 INFO  [restartedMain] Cluster created with settings {hosts=[65.151.177.136:7276], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} - [cluster:71]
11:43:13.207 WARN  [restartedMain] You are asking Spring Security to ignore Ant [pattern='/v2/api-docs']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. - [WebSecurity:294]
11:43:13.210 INFO  [restartedMain] Will secure Ant [pattern='/v2/api-docs'] with [] - [DefaultSecurityFilterChain:55]
11:43:13.210 WARN  [restartedMain] You are asking Spring Security to ignore Ant [pattern='/v3/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. - [WebSecurity:294]
11:43:13.213 INFO  [restartedMain] Will secure Ant [pattern='/v3/**'] with [] - [DefaultSecurityFilterChain:55]
11:43:13.214 WARN  [restartedMain] You are asking Spring Security to ignore Ant [pattern='/configuration/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. - [WebSecurity:294]
11:43:13.214 INFO  [restartedMain] Will secure Ant [pattern='/configuration/**'] with [] - [DefaultSecurityFilterChain:55]
11:43:13.214 WARN  [restartedMain] You are asking Spring Security to ignore Ant [pattern='/swagger-resources/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. - [WebSecurity:294]
11:43:13.214 INFO  [restartedMain] Will secure Ant [pattern='/swagger-resources/**'] with [] - [DefaultSecurityFilterChain:55]
11:43:13.214 WARN  [restartedMain] You are asking Spring Security to ignore Ant [pattern='/swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. - [WebSecurity:294]
11:43:13.214 INFO  [restartedMain] Will secure Ant [pattern='/swagger-ui.html'] with [] - [DefaultSecurityFilterChain:55]
11:43:13.214 WARN  [restartedMain] You are asking Spring Security to ignore Ant [pattern='/swagger-ui/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. - [WebSecurity:294]
11:43:13.215 INFO  [restartedMain] Will secure Ant [pattern='/swagger-ui/**'] with [] - [DefaultSecurityFilterChain:55]
11:43:13.215 WARN  [restartedMain] You are asking Spring Security to ignore Ant [pattern='/webjars/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. - [WebSecurity:294]
11:43:13.215 INFO  [restartedMain] Will secure Ant [pattern='/webjars/**'] with [] - [DefaultSecurityFilterChain:55]
11:43:13.297 INFO  [restartedMain] Will not secure any request - [DefaultSecurityFilterChain:52]
11:43:13.353 INFO  [cluster-rtt-ClusterId{value='64df0bf8c892db4773f5dab4', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:6, serverValue:3721}] to 65.151.177.136:7276 - [connection:71]
11:43:13.353 INFO  [cluster-ClusterId{value='64df0bf8c892db4773f5dab4', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:7, serverValue:3722}] to 65.151.177.136:7276 - [connection:71]
11:43:13.354 INFO  [cluster-ClusterId{value='64df0bf8c892db4773f5dab4', description='null'}-65.151.177.136:7276] Monitor thread successfully connected to server with description ServerDescription{address=65.151.177.136:7276, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=257803000} - [cluster:71]
11:43:15.245 INFO  [restartedMain] Cluster created with settings {hosts=[65.151.177.136:7276], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} - [cluster:71]
11:43:15.774 INFO  [cluster-rtt-ClusterId{value='64df0bfbc892db4773f5dab5', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:9, serverValue:3724}] to 65.151.177.136:7276 - [connection:71]
11:43:15.774 INFO  [cluster-ClusterId{value='64df0bfbc892db4773f5dab5', description='null'}-65.151.177.136:7276] Opened connection [connectionId{localValue:8, serverValue:3723}] to 65.151.177.136:7276 - [connection:71]
11:43:15.776 INFO  [cluster-ClusterId{value='64df0bfbc892db4773f5dab5', description='null'}-65.151.177.136:7276] Monitor thread successfully connected to server with description ServerDescription{address=65.151.177.136:7276, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=266030100} - [cluster:71]
11:43:16.814 INFO  [restartedMain] Tomcat started on port(s): 8083 (http) with context path '/email' - [TomcatWebServer:220]
11:43:17.093 INFO  [restartedMain] Tomcat initialized with port(s): 9000 (http) - [TomcatWebServer:108]
11:43:17.162 INFO  [restartedMain] Root WebApplicationContext: initialization completed in 342 ms - [ServletWebServerApplicationContext:290]
11:43:17.207 INFO  [restartedMain] Exposing 2 endpoint(s) beneath base path '/actuator' - [EndpointLinksResolver:58]
11:43:17.792 INFO  [restartedMain] Tomcat started on port(s): 9000 (http) with context path '' - [TomcatWebServer:220]
11:43:17.848 INFO  [restartedMain] Started CloudFuzeEmailMigration in 23.111 seconds (JVM running for 24.867) - [CloudFuzeEmailMigration:61]
11:43:21.365 INFO  [scheduling-1] Opened connection [connectionId{localValue:10, serverValue:3725}] to 65.151.177.136:7276 - [connection:71]
11:43:21.979 WARN  [scheduling-1] ====TOTAL WORKSPACES FOUND FOR UPDATION======9 - [WorkSpaceUpdater:54]
11:43:21.979 WARN  [scheduling-1] ==Total workspace for updation====9 - [WorkSpaceUpdater:56]
11:43:21.983 WARN  [scheduling-1] ===ENTERED FOR UPDATING THE WORKSPACE====64d24af80f96f44335f72cee - [WorkSpaceUpdater:63]
11:43:21.984 WARN  [scheduling-1] ===Entered for updating the Workspace CONFLICTS ====64d24af80f96f44335f72cee - [WorkSpaceUpdater:147]
11:43:22.607 WARN  [scheduling-1] ===Entered for updating the Workspace CONFLICTS FOLDERS ====64d24af80f96f44335f72cee - [WorkSpaceUpdater:156]
